bcr_patient_barcode;dataset;GATA3;PTEN;XBP1;ESR1;MUC1;FN1;GAPDH
BRCA1;BRCA;28705;1,36136E+14;2,98333E+14;308425;1652125;1733375;-1,62917E+14
BRCA2;BRCA;216625;0.428357142857143;2,55083E+14;2386;308025;0.217625;-0.951166666666667
BRCA3;BRCA;13235;1,30564E+14;3,02042E+14;0.79125;298525;2,50808E+14;-1,29883E+14
BRCA4;BRCA;1841625;0.809642857142857;3,13133E+14;2,49542E+14;-19185;-0.219708333333333;-0.820666666666667
BRCA5;BRCA;-602525;0.250857142857143;-145175;-4,86067E+14;-11715;-0.477375;1,29458E+14
BRCA6;BRCA;18045;1,31079E+14;4,04108E+14;2797;352975;1,24546E+14;-0.0521666666666666
BRCA7;BRCA;-487925;-0.236928571428571;-0.72475;-4,48608E+14;-145575;-1,96996E+14;-0.777
BRCA8;BRCA;-314325;-1,24321E+14;-1,19308E+14;-1,62742E+14;-0.98675;-0.458541666666667;10845
BRCA9;BRCA;2034;1,20743E+14;2,27883E+14;4,11558E+14;0.668;0.765708333333333;-2,01008E+14
BRCA10;BRCA;-0.293125;0.288357142857143;-1,60508E+14;0.473166666666667;0.0115;-0.260125;-0.242916666666667
BRCA11;BRCA;-0.802625;-0.165785714285714;0.329416666666667;-1,80158E+14;10395;0.687875;-1,21333E+14
BRCA12;BRCA;2646375;0.585357142857143;3,05633E+14;384525;1894875;1,23108E+14;-1,37158E+14
BRCA13;BRCA;-2315375;-0.00171428571428569;-1,18083E+14;-3,24467E+14;-0.6775;-1,08842E+14;-0.411166666666667
BRCA14;BRCA;-3758125;0.458571428571429;-243825;-4,21433E+14;-1367375;-0.106333333333333;-0.7525
BRCA15;BRCA;3.93;0.7145;2,08592E+14;4,07167E+14;126175;1,19296E+14;-146975
BRCA16;BRCA;-128125;0.367;1,71858E+14;-1,46258E+14;1999625;0.825416666666667;-0.591583333333333
BRCA17;BRCA;1619375;0.924;2,00642E+14;0.917333333333333;4118375;-0.656833333333333;-131975
BRCA18;BRCA;187025;-0.0349285714285715;1,18117E+14;3,01267E+14;1899625;-0.687958333333333;-1,09183E+14
BRCA19;BRCA;1470375;0.146;1,50983E+14;0.43225;-0.475375;0.267958333333333;-0.8205
BRCA20;BRCA;-295925;1,35629E+14;-1,14492E+14;-1,44283E+14;145475;0.038;-0.857916666666667
BRCA21;BRCA;234725;0.934642857142857;0.960666666666667;2,85417E+14;158325;1,03071E+14;-1,35308E+14
BRCA22;BRCA;2456625;0.643;2,44658E+14;4,35833E+14;2863875;-0.90575;-1,54792E+14
BRCA23;BRCA;3,36943E+14;-0.145;2453;452125;30375;0.816083333333333;-1494
BRCA24;BRCA;2977875;0.269928571428571;3,18942E+14;3,98692E+14;-0.1495;-0.663666666666667;-1,45683E+14
BRCA25;BRCA;226375;0.473285714285714;2,78442E+14;51325;12825;-0.457791666666667;-1,25792E+14
BRCA26;BRCA;1992;0.977357142857143;1,43817E+14;3,63908E+14;301225;-0.45125;-2,12508E+14
BRCA27;BRCA;1543125;0.457214285714286;161925;4,52617E+14;-0.24525;-1,01079E+14;-0.978583333333333
BRCA28;BRCA;1477875;0.864142857142857;1,03158E+14;-1,27158E+14;2025625;1,07342E+14;-1131
BRCA29;BRCA;0.043375;0.641;1,14258E+14;4,39042E+14;265825;16785;-0.14275
BRCA30;BRCA;230575;0.981785714285714;0.420666666666667;1,66408E+14;1551125;1753375;-16305
BRCA31;BRCA;-2202125;0.335;-181375;-4,62592E+14;101375;-0.220791666666667;-0.55375
BRCA32;BRCA;1814625;1.1;2,16058E+14;-2,71908E+14;-2582875;-0.057625;-0.854583333333333
BRCA33;BRCA;-1291625;-0.6985;-0.872833333333333;-2594;-0.967125;0.474625;-0.269166666666667
BRCA34;BRCA;2983875;0.269071428571429;2934;3,19008E+14;3451875;-0.826458333333334;-1,64217E+14
BRCA35;BRCA;2135;-0.134142857142857;2,48483E+14;3561;-0.403875;-1,72146E+14;-183125
BRCA36;BRCA;198825;1,35586E+14;2,36383E+14;4,16592E+14;32385;1,02967E+14;-162375
BRCA37;BRCA;1382875;0.784571428571429;1,92883E+14;343875;281475;0.808416666666667;-0.6925
BRCA38;BRCA;180525;1252;2,47917E+14;3257;3042375;1088625;-1,37717E+14
BRCA39;BRCA;183425;0.726857142857143;1,88242E+14;0.112583333333333;-0.110375;-1,08971E+14;-1,46767E+14
BRCA40;BRCA;2947375;1,02579E+14;3,48692E+14;4,58658E+14;10355;-0.936708333333333;-114225
BRCA41;BRCA;0.789;1,12007E+14;3,35433E+14;319025;2259625;-0.892;-1,78383E+14
BRCA42;BRCA;2793125;1,00721E+14;1,88292E+14;4,38608E+14;1059875;-2,04908E+14;-1,30083E+14
BRCA43;BRCA;2640375;0.5505;3,46742E+14;4,44317E+14;0.638625;0.26;-1,65083E+14
BRCA44;BRCA;1.71;0.927285714285714;2,53308E+14;399325;2928625;0.998291666666667;-2,03833E+14
BRCA45;BRCA;1552;13415;2,54458E+14;3,55042E+14;2955;0.475666666666667;-11915
BRCA46;BRCA;1764625;1,08986E+14;2,30133E+14;2,30092E+14;2151;0.351333333333333;-1,93258E+14
BRCA47;BRCA;1220375;0.403642857142857;271275;2,92958E+14;250475;0.991958333333333;-19095
BRCA48;BRCA;-0.07625;1,10871E+14;0.597166666666667;0.621166666666667;0.015125;-1,22242E+14;-1,20608E+14
BRCA49;BRCA;2825625;0.558357142857143;2,28892E+14;5,06233E+14;2272625;-0.112583333333333;-1,38333E+14
BRCA50;BRCA;183325;0.34;1,87867E+14;1,88958E+14;2588375;1,35921E+14;-0.408916666666667
BRCA51;BRCA;0.3605;0.823785714285714;1,50242E+14;346925;2739625;0.451583333333333;-1,70608E+14
BRCA52;BRCA;-1734875;1,21914E+14;0.37525;-1,14417E+14;-0.502625;0.462;-1,08758E+14
BRCA53;BRCA;209175;1245;36995;3865;3446;-0.263166666666667;-1,30883E+14
BRCA54;BRCA;0.342875;-0.544857142857143;0.84525;-2,00267E+14;2343125;0.9645;-0.618083333333333
BRCA55;BRCA;0.11025;0.391571428571429;1,44367E+14;-2,69542E+14;1194;1290875;-125875
BRCA56;BRCA;0.164125;-1,12164E+14;-1747;-2,88033E+14;255975;0.0546666666666666;-1057
BRCA57;BRCA;2118875;1,27493E+14;2,98117E+14;35905;1126625;0.516041666666667;-1,11167E+14
